race_name,category,climb_name,climb_url,length,steepness,top,km_before_finnish
itzulia-basque-country,38.063 km/h,Muniketagaina,location/alto-de-muniketagane,3.4,7.3,376.0,38.0
itzulia-basque-country,38.063 km/h,Muniketagaina,location/alto-de-muniketagane,3.4,7.3,376.0,13.0
itzulia-basque-country,38.063 km/h,Trabakua,location/trabakua,3.3,6.9,396.0,46.0
itzulia-basque-country,38.063 km/h,Olaeta,location/olaeta,3.2,5.7,757.0,41.0
itzulia-basque-country,38.063 km/h,Leintz-Gatzaga,location/leintz-gatzaga,3.1,8.5,609.0,8.0
itzulia-basque-country,38.063 km/h,Saint-Ignace,location/saint-ignace,2.7,5.1,155.0,140.0
itzulia-basque-country,38.063 km/h,Elkorrieta,location/elkorrieta,2.6,6.3,186.0,124.0
itzulia-basque-country,38.063 km/h,Untzilla,location/alto-de-untzella,2.4,8.1,477.0,25.0
itzulia-basque-country,38.063 km/h,Olaberria,location/olaberria-irun,1.7,5.0,120.0,6.0
itzulia-basque-country,38.063 km/h,Olaberria,location/alto-de-olaberria,1.7,7.7,301.0,37.0
paris-roubaix,47.802 km/h,,,,,,
amstel-gold-race,42.469 km/h,Camerig,location/camerig,3.9,4.3,282.0,144.0
amstel-gold-race,42.469 km/h,Schweibergerweg,location/schilbergerweg,2.5,4.6,222.0,152.0
amstel-gold-race,42.469 km/h,Eperheide,location/epenheide,2.1,4.7,220.0,118.0
amstel-gold-race,42.469 km/h,Drielandenpunt,location/drielandenpunt,2.1,5.6,305.0,134.0
amstel-gold-race,42.469 km/h,Eyserweg,location/eyserweg,1.7,5.0,193.0,102.0
amstel-gold-race,42.469 km/h,Sibbergrubbe,location/sibbergrubbe,1.6,4.1,148.0,86.0
amstel-gold-race,42.469 km/h,Epenerbaan / Vijlenerbos,location/vijlenerbos,1.5,5.5,287.0,125.0
amstel-gold-race,42.469 km/h,Keerderberg,location/keerderberg,1.5,3.9,125.0,70.0
amstel-gold-race,42.469 km/h,Loorberg,location/loorberg,1.2,5.7,212.0,164.0
amstel-gold-race,42.469 km/h,Loorberg,location/loorberg,1.2,5.6,212.0,52.0
amstel-gold-race,42.469 km/h,Keutenberg,location/keutenberg,1.1,6.8,153.0,28.0
amstel-gold-race,42.469 km/h,Gulperberg,location/gulperberg,1.0,5.2,150.0,45.0
amstel-gold-race,42.469 km/h,St. Remigiusstraat / Huls,location/sint-remigiusstraat,1.0,6.7,207.0,99.0
amstel-gold-race,42.469 km/h,Geulhemmerberg,location/geulhemmerberg,1.0,5.8,119.0,78.0
amstel-gold-race,42.469 km/h,Geulhemmerberg,location/geulhemmerberg,1.0,5.9,119.0,15.0
amstel-gold-race,42.469 km/h,Eyserbosweg,location/eyserbosweg,0.9,9.3,191.0,38.0
amstel-gold-race,42.469 km/h,Gemmenich,location/gemmenich,0.8,6.0,271.0,131.0
amstel-gold-race,42.469 km/h,Nijswillerweg,location/nijswillerweg,0.8,3.4,171.0,197.0
amstel-gold-race,42.469 km/h,Bergseweg,location/bergseweg,0.8,5.8,154.0,205.0
amstel-gold-race,42.469 km/h,Fromberg,location/fromberg,0.7,4.5,157.0,34.0
amstel-gold-race,42.469 km/h,Bemelerberg,location/bemelerberg,0.7,5.9,119.0,5.0
amstel-gold-race,42.469 km/h,Bemelerberg,location/bemelerberg,0.7,5.7,119.0,65.0
amstel-gold-race,42.469 km/h,Cauberg,location/cauberg,0.6,8.3,133.0,82.0
amstel-gold-race,42.469 km/h,Plettenberg,location/plettenberg,0.6,4.5,137.0,106.0
amstel-gold-race,42.469 km/h,Kruisberg,location/kruisberg,0.6,8.5,163.0,40.0
amstel-gold-race,42.469 km/h,Gulperberg (Bergweg),location/gulperberg,0.6,8.7,150.0,110.0
amstel-gold-race,42.469 km/h,Cauberg,location/cauberg,0.6,8.3,133.0,20.0
amstel-gold-race,42.469 km/h,Adsteeg,location/adsteeg,0.6,4.6,107.0,222.0
amstel-gold-race,42.469 km/h,Korenweg,location/korenweg,0.5,5.3,180.0,202.0
amstel-gold-race,42.469 km/h,Vrakelberg,location/vrakelberg,0.4,9.5,175.0,94.0
amstel-gold-race,42.469 km/h,Wolfsberg,location/wolfsberg-limburg,0.3,7.7,178.0,167.0
amstel-gold-race,42.469 km/h,Maasberg,location/maasberg,0.3,5.5,63.0,241.0
la-fleche-wallone,42.496 km/h,Côte d'Yvoir,location/cote-d-yvoir,2.2,5.6,215.0,156.0
la-fleche-wallone,42.496 km/h,Côte d'Ereffe,location/cote-d-ereffe,2.2,5.4,259.0,108.0
la-fleche-wallone,42.496 km/h,Côte d'Ereffe,location/cote-d-ereffe,2.2,5.4,259.0,76.0
