climb_name,climb_url,length,steepness,top,km_before_finnish,race_name
Mammolshain,location/mammolshainer-berg,2.4,7.8,365,35,eschborn-frankfurt
Mammolshain,location/mammolshainer-berg,2.4,7.8,365,110,eschborn-frankfurt
Passo Pinei/Panidersattel,location/passo-di-pinei,23.4,4.8,1442,12,giro-d-italia
Passo Rolle,location/passo-rolle,19.8,4.6,1973,91,giro-d-italia
Monte Grappa,location/monte-grappa,18.1,8.1,1671,31,giro-d-italia
Monte Grappa,location/monte-grappa,18.1,8.1,1671,78,giro-d-italia
Bocca della Selva,location/bocca-della-selva,18.1,5.6,1389,0,giro-d-italia
Forca Capistrello,location/forca-capistrello,16.4,5.6,1211,115,giro-d-italia
Passo del Bracco,location/passo-del-bracco,15.3,4.0,621,116,giro-d-italia
Prati di Tivo,location/prati-di-tivo,14.7,7.0,1451,0,giro-d-italia
Passo di Foscagno,location/passo-di-foscagno,14.6,6.3,2292,9,giro-d-italia
Colle San Zeno,location/colle-san-zeno,13.7,6.7,1420,157,giro-d-italia
Passo Brocon,location/passo-brocon,13.6,6.5,1612,32,giro-d-italia
Passo del Mortirolo,location/passo-del-mortirolo,12.6,7.7,1868,67,giro-d-italia
Passo Brocon,location/passo-brocon,11.9,6.4,1604,0,giro-d-italia
Santuario di Oropa,location/oropa,11.8,6.1,1136,0,giro-d-italia
Cima Sappada,location/sappada,10.7,4.4,1290,6,giro-d-italia
Passo Sella,location/passo-sella-sellajoch,9.0,7.3,2239,150,giro-d-italia
Sella Valcalda,location/sella-valcalda,8.9,3.7,952,35,giro-d-italia
Volterra,location/volterra,8.6,4.7,505,100,giro-d-italia
Pietracatella,location/pietracatella,8.4,5.4,684,159,giro-d-italia
Croce Abbio,location/croce-abbio,8.1,4.7,1280,39,giro-d-italia
Superga,location/colle-di-superga,8.0,4.3,646,62,giro-d-italia
Lodrino,location/lodrino,7.6,4.4,736,184,giro-d-italia
Colle del Melogno,location/colle-di-melogno,7.5,4.8,1032,102,giro-d-italia
Colle Maddalena,location/colle-della-maddalena,7.1,6.6,690,22,giro-d-italia
Osimo,location/osimo,7.0,2.3,194,100,giro-d-italia
Passo Duron,location/passo-duron,6.9,5.8,1049,52,giro-d-italia
Perugia,location/perugia,6.6,4.1,472,0,giro-d-italia
Monte Pana,location/monte-pana,6.6,6.3,1628,0,giro-d-italia
Camposauro,location/camposauro,6.1,7.5,801,60,giro-d-italia
Passo Gobbera,location/passo-gobbera,5.7,5.8,981,59,giro-d-italia
Oasi Zegna,location/oasi-zegna,5.5,5.2,752,38,giro-d-italia
La Croce,location/la-croce,5.4,3.1,208,42,giro-d-italia
Nelva,location/nelva,5.0,5.4,787,24,giro-d-italia
Mottolino,location/mottolino,4.6,7.7,2387,0,giro-d-italia
Monsano,location/monsano,4.2,4.0,214,66,giro-d-italia
Monte di Procida (Panoramica),location/monte-di-procida,4.1,3.0,127,36,giro-d-italia
Lu,location/lu,3.4,3.8,280,108,giro-d-italia
